# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 60.2772 130.683 55.8093 5.025e-05 0.00668398
400 60.2772 130.696 55.8093 0.00015025 0.0322233
600 60.2772 130.709 55.8093 0.00025025 0.0323182
800 60.2772 130.722 55.8093 0.00035025 0.0317835
1000 60.2772 130.735 55.8093 0.00045025 0.0603132
1200 60.2772 130.748 55.8093 0.00055025 0.0409185
1400 60.2772 130.762 55.8093 0.00065025 0.0781109
1600 60.2772 130.775 55.8093 0.00075025 0.0648055
1800 60.2772 130.788 55.8093 0.00085025 0.0983607
2000 60.2772 130.801 55.8093 0.00095025 0.0820433
2200 60.2772 130.814 55.8093 0.00105025 0.0888624
2400 60.2772 130.827 55.8093 0.00115025 0.14166
2600 60.2772 130.84 55.8093 0.00125025 0.123378
2800 60.2772 130.853 55.8093 0.00135025 0.152142
3000 60.2772 130.866 55.8093 0.00145025 0.15173
3200 60.2772 130.879 55.8093 0.00155025 0.154131
3400 60.2772 130.892 55.8093 0.00165025 0.184971
3600 60.2772 130.905 55.8093 0.00175025 0.155806
3800 60.2772 130.918 55.8093 0.00185025 0.210122
4000 60.2772 130.931 55.8093 0.00195025 0.187388
4200 60.2772 130.944 55.8093 0.00205025 0.225689
4400 60.2772 130.958 55.8093 0.00215025 0.207332
4600 60.2772 130.971 55.8093 0.00225025 0.227817
4800 60.2772 130.984 55.8093 0.00235025 0.250209
5000 60.2772 130.997 55.8093 0.00245025 0.250015
5200 60.2772 131.01 55.8093 0.00255025 0.271435
5400 60.2772 131.023 55.8093 0.00265025 0.263633
5600 60.2772 131.036 55.8093 0.00275025 0.284098
5800 60.2772 131.049 55.8093 0.00285025 0.293824
6000 60.2772 131.062 55.8093 0.00295025 0.326521
6200 60.2772 131.075 55.8093 0.00305025 0.309838
6400 60.2772 131.088 55.8093 0.00315025 0.336272
6600 60.2772 131.101 55.8093 0.00325025 0.331962
6800 60.2772 131.114 55.8093 0.00335025 0.346165
7000 60.2772 131.127 55.8093 0.00345025 0.353017
7200 60.2772 131.14 55.8093 0.00355025 0.367661
7400 60.2772 131.154 55.8093 0.00365025 0.372204
7600 60.2772 131.167 55.8093 0.00375025 0.403858
7800 60.2772 131.18 55.8093 0.00385025 0.387693
8000 60.2772 131.193 55.8093 0.00395025 0.401648
8200 60.2772 131.206 55.8093 0.00405025 0.434721
8400 60.2772 131.219 55.8093 0.00415025 0.434208
8600 60.2772 131.232 55.8093 0.00425025 0.42846
