# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 61.217 132.932 55.9385 5.025e-05 0.0272195
400 61.217 132.945 55.9385 0.00015025 0.0183294
600 61.217 132.959 55.9385 0.00025025 0.00667188
800 61.217 132.972 55.9385 0.00035025 0.018394
1000 61.217 132.985 55.9385 0.00045025 0.0135331
1200 61.217 132.999 55.9385 0.00055025 0.047725
1400 61.217 133.012 55.9385 0.00065025 0.0122115
1600 61.217 133.025 55.9385 0.00075025 0.0421294
1800 61.217 133.038 55.9385 0.00085025 0.0392645
2000 61.217 133.052 55.9385 0.00095025 0.0149317
2200 61.217 133.065 55.9385 0.00105025 0.0660498
2400 61.217 133.078 55.9385 0.00115025 0.0385712
2600 61.217 133.092 55.9385 0.00125025 0.0708555
2800 61.217 133.105 55.9385 0.00135025 0.0655901
3000 61.217 133.118 55.9385 0.00145025 0.0401918
3200 61.217 133.131 55.9385 0.00155025 0.0691953
3400 61.217 133.145 55.9385 0.00165025 0.0566085
3600 61.217 133.158 55.9385 0.00175025 0.0707262
3800 61.217 133.171 55.9385 0.00185025 0.105309
4000 61.217 133.185 55.9385 0.00195025 0.0666126
4200 61.217 133.198 55.9385 0.00205025 0.0770493
4400 61.217 133.211 55.9385 0.00215025 0.0874799
4600 61.217 133.225 55.9385 0.00225025 0.086742
4800 61.217 133.238 55.9385 0.00235025 0.101845
5000 61.217 133.251 55.9385 0.00245025 0.091312
5200 61.217 133.264 55.9385 0.00255025 0.122362
5400 61.217 133.278 55.9385 0.00265025 0.0818246
5600 61.217 133.291 55.9385 0.00275025 0.11429
5800 61.217 133.304 55.9385 0.00285025 0.138176
6000 61.217 133.318 55.9385 0.00295025 0.0869452
6200 61.217 133.331 55.9385 0.00305025 0.151272
6400 61.217 133.344 55.9385 0.00315025 0.101859
6600 61.217 133.357 55.9385 0.00325025 0.135527
6800 61.217 133.371 55.9385 0.00335025 0.166655
7000 61.217 133.384 55.9385 0.00345025 0.088228
7200 61.217 133.397 55.9385 0.00355025 0.170848
7400 61.217 133.411 55.9385 0.00365025 0.13271
7600 61.217 133.424 55.9385 0.00375025 0.131475
7800 61.217 133.437 55.9385 0.00385025 0.177353
8000 61.217 133.45 55.9385 0.00395025 0.14835
8200 61.217 133.464 55.9385 0.00405025 0.143972
8400 61.217 133.477 55.9385 0.00415025 0.172147
8600 61.217 133.49 55.9385 0.00425025 0.137485
8800 61.217 133.504 55.9385 0.00435025 0.17767
9000 61.217 133.517 55.9385 0.00445025 0.201867
9200 61.217 133.53 55.9385 0.00455025 0.169976
9400 61.217 133.544 55.9385 0.00465025 0.191942
9600 61.217 133.557 55.9385 0.00475025 0.148243
9800 61.217 133.57 55.9385 0.00485025 0.194567
10000 61.217 133.583 55.9385 0.00495025 0.197123
10200 61.217 133.597 55.9385 0.00505025 0.194679
10400 61.217 133.61 55.9385 0.00515025 0.207924
10600 61.217 133.623 55.9385 0.00525025 0.21527
10800 61.217 133.637 55.9385 0.00535025 0.188995
11000 61.217 133.65 55.9385 0.00545025 0.206417
11200 61.217 133.663 55.9385 0.00555025 0.244595
11400 61.217 133.676 55.9385 0.00565025 0.199328
11600 61.217 133.69 55.9385 0.00575025 0.250796
11800 61.217 133.703 55.9385 0.00585025 0.219024
12000 61.217 133.716 55.9385 0.00595025 0.199155
12200 61.217 133.73 55.9385 0.00605025 0.272698
12400 61.217 133.743 55.9385 0.00615025 0.194322
12600 61.217 133.756 55.9385 0.00625025 0.232566
12800 61.217 133.77 55.9385 0.00635025 0.284795
13000 61.217 133.783 55.9385 0.00645025 0.227709
13200 61.217 133.796 55.9385 0.00655025 0.278643
13400 61.217 133.809 55.9385 0.00665025 0.265036
13600 61.217 133.823 55.9385 0.00675025 0.228881
13800 61.217 133.836 55.9385 0.00685025 0.313644
14000 61.217 133.849 55.9385 0.00695025 0.220085
14200 61.217 133.863 55.9385 0.00705025 0.276356
14400 61.217 133.876 55.9385 0.00715025 0.3096
14600 61.217 133.889 55.9385 0.00725025 0.219505
14800 61.217 133.902 55.9385 0.00735025 0.306326
15000 61.217 133.916 55.9385 0.00745025 0.293293
15200 61.217 133.929 55.9385 0.00755025 0.271052
15400 61.217 133.942 55.9385 0.00765025 0.333827
15600 61.217 133.956 55.9385 0.00775025 0.271959
15800 61.217 133.969 55.9385 0.00785025 0.276834
16000 61.217 133.982 55.9385 0.00795025 0.313226
16200 61.217 133.995 55.9385 0.00805025 0.286571
16400 61.217 134.009 55.9385 0.00815025 0.334537
16600 61.217 134.022 55.9385 0.00825025 0.306619
16800 61.217 134.035 55.9385 0.00835025 0.301279
17000 61.217 134.049 55.9385 0.00845025 0.335892
17200 61.217 134.062 55.9385 0.00855025 0.304008
17400 61.217 134.075 55.9385 0.00865025 0.348455
17600 61.217 134.089 55.9385 0.00875025 0.312411
17800 61.217 134.102 55.9385 0.00885025 0.327787
18000 61.217 134.115 55.9385 0.00895025 0.36257
18200 61.217 134.128 55.9385 0.00905025 0.332192
18400 61.217 134.142 55.9385 0.00915025 0.342363
18600 61.217 134.155 55.9385 0.00925025 0.358517
18800 61.217 134.168 55.9385 0.00935025 0.362591
19000 61.217 134.182 55.9385 0.00945025 0.361268
19200 61.217 134.195 55.9385 0.00955025 0.353686
19400 61.217 134.208 55.9385 0.00965025 0.384128
19600 61.217 134.221 55.9385 0.00975025 0.381264
19800 61.217 134.235 55.9385 0.00985025 0.362996
20000 61.217 134.248 55.9385 0.00995025 0.372011
20200 61.217 134.261 55.9385 0.0100503 0.38305
20400 61.217 134.275 55.9385 0.0101503 0.381853
20600 61.217 134.288 55.9385 0.0102503 0.418385
20800 61.217 134.301 55.9385 0.0103503 0.39147
21000 61.217 134.315 55.9385 0.0104503 0.37087
21200 61.217 134.328 55.9385 0.0105503 0.427213
21400 61.217 134.341 55.9385 0.0106503 0.423827
21600 61.217 134.354 55.9385 0.0107503 0.36759
21800 61.217 134.368 55.9385 0.0108503 0.436644
22000 61.217 134.381 55.9385 0.0109503 0.430036
22200 61.217 134.394 55.9385 0.0110503 0.41125
22400 61.217 134.408 55.9385 0.0111503 0.442197
22600 61.217 134.421 55.9385 0.0112503 0.42031
22800 61.217 134.434 55.9385 0.0113503 0.430692
23000 61.217 134.447 55.9385 0.0114503 0.438357
23200 61.217 134.461 55.9385 0.0115503 0.426898
23400 61.217 134.474 55.9385 0.0116503 0.43811
23600 61.217 134.487 55.9385 0.0117503 0.4447
23800 61.217 134.501 55.9385 0.0118503 0.435063
24000 61.217 134.514 55.9385 0.0119503 0.466671
24200 61.217 134.527 55.9385 0.0120503 0.467511
24400 61.217 134.54 55.9385 0.0121503 0.433887
24600 61.217 134.554 55.9385 0.0122503 0.483876
24800 61.217 134.567 55.9385 0.0123503 0.44714
25000 61.217 134.58 55.9385 0.0124503 0.470667
25200 61.217 134.594 55.9385 0.0125503 0.491475
25400 61.217 134.607 55.9385 0.0126503 0.453387
25600 61.217 134.62 55.9385 0.0127503 0.509347
25800 61.217 134.634 55.9385 0.0128503 0.476473
26000 61.217 134.647 55.9385 0.0129503 0.461828
